,Metric,Condition,U_Statistic,P_Value,Median_Recovered,Median_Non_Recovered,File_Count_Recovered,File_Count_Non_Recovered,Mean_Recovered,Mean_Non_Recovered,Std_Recovered,Std_Non_Recovered,Corrected_P_Value,Significance,Corrected Significance
35,Absolute Alpha Power,Dex_mix,278.0,0.2793912339308202,0.013849636611004825,0.012667729411366627,33,14,0.02550006444114646,0.01527391761690503,0.03161904051274902,0.012146152921598137,1.0,ns,ns
38,Absolute Beta Power,Dex_mix,335.0,0.016056537145532117,0.01774611563456619,0.007396065647397091,33,14,0.02295748977338688,0.009782515920873156,0.03334909433682985,0.00765070136435331,0.6743745601123489,*,ns
29,Absolute Delta Power,Dex_mix,166.0,0.13350932082406233,0.3543048588973269,0.44443252361728847,33,14,0.38210840733742857,0.402915441689344,0.10230583934155621,0.1149771141615959,1.0,ns,ns
41,Absolute Gamma Power,Dex_mix,271.0,0.35817238370163296,0.002150673489382013,0.001794126593647295,33,14,0.0024541903163054946,0.0019400183059057434,0.0016632791740162525,0.00142801521367509,1.0,ns,ns
32,Absolute Theta Power,Dex_mix,194.0,0.39584409962657907,0.03802802205792262,0.061009619581386836,33,14,0.052038094351150345,0.05186273118984063,0.04354001544581486,0.03055962715662593,1.0,ns,ns
8,Conditional Weighted Permutation Entropy,Dex_mix,222.0,0.8432579637495998,0.08111956321820749,0.07641526815607003,33,14,0.08274366919811975,0.08785118908742919,0.017567243949397612,0.022210918248519236,1.0,ns,ns
20,Detrended Fluctuation Analysis Alpha,Dex_mix,201.0,0.4925667553899551,0.6263351760220742,0.6385635840915115,33,14,0.5944565713560062,0.6266559229916272,0.12195769765566904,0.13648761062718132,1.0,ns,ns
17,Higuchi Fractal Dimension,Dex_mix,225.0,0.8981952061880719,1.8968173780365092,1.9073832770479588,33,14,1.9013751512776744,1.8891384508591105,0.03141385266996968,0.04412266306237149,1.0,ns,ns
11,Lempel-Ziv Complexity,Dex_mix,312.0,0.06083951902390479,0.1945293352808624,0.16579204711437134,33,14,0.19921840328005674,0.1585287764788846,0.06336774945894036,0.037388281361621166,1.0,ns,ns
14,Lyapunov Exponent,Dex_mix,137.0,0.02962960368270701,0.0014333709032340952,0.0018288951626332299,33,14,0.001572377603773605,0.0018591974268377827,0.000791966995325169,0.00045806526847354555,1.0,*,ns
5,Permutation Entropy,Dex_mix,214.0,0.7011083524702635,0.8417942160172305,0.8504890046981228,33,14,0.8492342897518395,0.8521593431637173,0.03958528133794163,0.022575144741989957,1.0,ns,ns
2,Sample Entropy,Dex_mix,199.0,0.4637070693584049,0.12403846300386079,0.15946476406476284,33,14,0.13002147040681092,0.13970011949152297,0.06900942255200374,0.057709964889736155,1.0,ns,ns
26,Spectral Slope,Dex_mix,177.0,0.2133072753625298,2.2978830945857425,2.3923054205561716,33,14,2.269957511825592,2.423975095378427,0.3185201862865335,0.3456719172667529,1.0,ns,ns
23,Spectral Slope Offset,Dex_mix,222.0,0.8432579637495998,-0.39799517643713855,-0.38486496831400047,33,14,-0.5002699416735129,-0.48472171823918836,0.2907864061009263,0.30634692977429084,1.0,ns,ns
34,Absolute Alpha Power,Midazolam,2160.0,1.3406501890942242e-08,0.025307676404858565,0.003371838975279277,62,42,0.0356401252688978,0.013438907891207243,0.030150917459183482,0.0237279574179903,5.630730794195742e-07,***,***
37,Absolute Beta Power,Midazolam,2185.0,5.022573817171694e-09,0.02021423745110239,0.0015901436095724182,62,42,0.0459460063438931,0.013548164399656,0.05440316330690469,0.02717242937907971,2.1094810032121116e-07,***,***
28,Absolute Delta Power,Midazolam,1283.0,0.9024558751861144,0.3773765106217212,0.3679829748576844,62,42,0.378966337772101,0.37833050911842314,0.10915391138880509,0.09396611417139694,1.0,ns,ns
40,Absolute Gamma Power,Midazolam,1854.0,0.00025858899594114165,0.001366007836036678,0.00014612603102603756,62,42,0.0019094894617180883,0.005385494841593071,0.0019029905842864985,0.012839272345808837,0.010860737829527949,***,*
31,Absolute Theta Power,Midazolam,1799.0,0.0010046055760643904,0.05213355778151817,0.01974039329195118,62,42,0.06347737594962365,0.03946441762668614,0.049635099732691035,0.052576144748699864,0.0421934341947044,**,*
7,Conditional Weighted Permutation Entropy,Midazolam,1002.0,0.04724023618978139,0.08434756713566947,0.11466503872117635,62,42,0.09089651953545425,0.10367599351993614,0.017999881857306013,0.029398209151981956,1.0,*,ns
19,Detrended Fluctuation Analysis Alpha,Midazolam,2119.0,6.331291806868638e-08,0.6669661028047618,0.5885147090356474,62,42,0.676604699216875,0.5843984213602204,0.07456137111567747,0.08576156835602843,2.6591425588848277e-06,***,***
16,Higuchi Fractal Dimension,Midazolam,1880.0,0.00013032380411207026,1.9179562797320022,1.8940226109427791,62,42,1.917994071715068,1.8931795165915726,0.032186680340151555,0.025972294580804276,0.0054735997727069505,***,**
10,Lempel-Ziv Complexity,Midazolam,2074.5,3.1079562904667525e-07,0.22768774470373665,0.11937027392234738,62,42,0.23702914606803027,0.1746342896271378,0.06245412682488064,0.11657381799609597,1.305341641996036e-05,***,***
13,Lyapunov Exponent,Midazolam,1096.0,0.17338576812020468,0.0018089030076696737,0.002147523796033621,62,42,0.002206828678619765,0.0021412456509467283,0.0016977101174170323,0.0009249969771015828,1.0,ns,ns
4,Permutation Entropy,Midazolam,1699.0,0.008620474318684478,0.8767702903644892,0.8448242307552635,62,42,0.8737277466408461,0.8492915891129978,0.03647736678865373,0.04943069073300328,0.3620599213847481,**,ns
1,Sample Entropy,Midazolam,1562.0,0.08558772960740137,0.10899081836791663,0.08846778901352784,62,42,0.1436454773227991,0.17417643228553467,0.08514016107261833,0.21738064276224528,1.0,ns,ns
25,Spectral Slope,Midazolam,758.0,0.0003174821231265964,2.4003061838549735,3.1306117969789953,62,42,2.3842351847559056,2.6786916537801426,0.3146693566693934,0.7322154617508904,0.013334249171317048,***,*
22,Spectral Slope Offset,Midazolam,1330.0,0.8554390057706616,-0.34409801331709144,-0.32998556387829303,62,42,-0.404276849229903,-0.41995381608879445,0.2843225577368948,0.2912995176029017,1.0,ns,ns
33,Absolute Alpha Power,Propofol,30.0,0.463768115942029,0.026503985407499164,0.013501978238829725,22,2,0.03698641115256795,0.013501978238829725,0.028632136906124983,0.0029912454349544605,1.0,ns,ns
36,Absolute Beta Power,Propofol,44.0,0.007246376811594203,0.03916465645450819,0.0068622119681038835,22,2,0.04896674477209835,0.0068622119681038835,0.030662279973041814,0.0032028264041467497,0.30434782608695654,**,ns
27,Absolute Delta Power,Propofol,3.0,0.043478260869565216,0.34904142546582306,0.45952722921840206,22,2,0.34839365217942647,0.45952722921840206,0.06675777697432393,0.07311965598079728,1.0,*,ns
39,Absolute Gamma Power,Propofol,39.0,0.08695652173913043,0.003307428786499928,0.0012501743981836906,22,2,0.0039059167051558232,0.0012501743981836906,0.0022012921396234886,0.001395134158567184,1.0,ns,ns
30,Absolute Theta Power,Propofol,8.0,0.18115942028985507,0.0317331393347671,0.0597561642403043,22,2,0.059398787325785296,0.0597561642403043,0.06933071096234213,0.0015029238137143294,1.0,ns,ns
6,Conditional Weighted Permutation Entropy,Propofol,38.0,0.11594202898550725,0.08683444687254006,0.07257728816417114,22,2,0.087477006896659,0.07257728816417114,0.022783281744500155,0.0029191091780229553,1.0,ns,ns
18,Detrended Fluctuation Analysis Alpha,Propofol,24.0,0.8768115942028984,0.6770231638520484,0.6773420556721088,22,2,0.6746717024920885,0.6773420556721088,0.12263056186089659,0.14628292494919093,1.0,ns,ns
15,Higuchi Fractal Dimension,Propofol,26.0,0.7246376811594202,1.9126043610917907,1.9114829901808021,22,2,1.9160655322860587,1.9114829901808021,0.021168588705678143,0.012450232726692661,1.0,ns,ns
9,Lempel-Ziv Complexity,Propofol,35.0,0.19130809825688477,0.24979335098565283,0.1724237289989462,22,2,0.24356358921529458,0.1724237289989462,0.08002234232380351,0.031262048208365735,1.0,ns,ns
12,Lyapunov Exponent,Propofol,29.0,0.5217391304347826,0.0019680188073662487,0.001733439190565744,22,2,0.0022291995252834,0.001733439190565744,0.0009927268606238708,0.0004377184591479876,1.0,ns,ns
3,Permutation Entropy,Propofol,33.0,0.30434782608695654,0.8694119925804064,0.8484914206313978,22,2,0.8576257586849632,0.8484914206313978,0.050769606929314426,0.015042040863353402,1.0,ns,ns
0,Sample Entropy,Propofol,39.0,0.08695652173913043,0.1397852799518633,0.08524493388662607,22,2,0.21016814231194803,0.08524493388662607,0.12718835307923412,0.02622208940428908,1.0,ns,ns
24,Spectral Slope,Propofol,4.0,0.06521739130434782,2.052124092881336,2.645690283511322,22,2,2.092201122812249,2.645690283511322,0.24402681436085638,0.4350154847065965,1.0,ns,ns
21,Spectral Slope Offset,Propofol,2.0,0.028985507246376812,-0.5534304127603064,-0.2710128351735125,22,2,-0.5564666670738441,-0.2710128351735125,0.1596462964631658,0.1433910520632651,1.0,*,ns
